ID,Tweets
1336593342864486400,"b'Goede morgen tweeps,ff vraagje vinden jullie dit wat ? #goedemorgen #dtv\xf0\x9f\x98\x80 https://t.co/HIKL2i33oj'"
1336589481063878656,b'Is het heel erg als nu al roep dat het bijna weekend is?\n#goedemorgen'
1336588545117523970,"b'#Goedemorgen deze #woensdag \nLekker hoor die Italo disco in de #top4000 ,die horen we helaas niet in de #Top2000\nhttps://t.co/L5u9AagBHS'"
1336588395838124033,b'#goedemorgen allemaal een mooie woensdag gewenst \xf0\x9f\x8d\x80\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xb9'
1336587131817496577,b'#goedemorgen mensen. Ik zie weinig vandaag! #mist #nijmegen https://t.co/cJOqzpg8iw'
1336586624281546754,b'#Goedemorgen volgers en niet volgers.'
1336586196735176707,"b'#goedemorgen #blijfthuis #wijdoenwelmee Maandag 14 december a.s. om 10:00 uur de 100ste uitzending van ""HET (D)ONSU\xe2\x80\xa6 https://t.co/B5FTY4VG7B'"
1336585736733274113,b'BELANGENVERSTRENGELING #OMT LEDEN - Gaat om Mw. Vossen en Hr. Kluytmans inzake invulling - / uitvoering testbeleid.\xe2\x80\xa6 https://t.co/zFQVRLDC87'
1336584616812158976,"b'#goedemorgen #GoedemorgenNederland Maak er een fijne dag van, ben lief voor elkaar. Het is immers je allerlaatste 9\xe2\x80\xa6 https://t.co/gDnl1TR4cW'"
1336584472289013760,b'RT @DierenAmsterdam: Lief klein katertje was uit het raam gevallen. Wat is er toch aan de hand de laatste tijd #FlyingCats Op een klein sch\xe2\x80\xa6'
1336584170924109825,b'Drenthe vanmorgen. Wat woon ik toch mooi! Als Noord-Hollandse durf ik te zeggen: Drenthe is echt de mooiste provinc\xe2\x80\xa6 https://t.co/NxnhX1eqK2'
1336582966336745477,b'Niet geschikt geschikt voor preutse mensen en vooral toch ook die laatst genoemden een #goedemorgen\xe2\x80\xa6 https://t.co/NDoUafkYVN'
1336582570063114240,b'#Goedemorgen tweeps wil jullie een fijne woensdag wensen en geniet van deze dag ook al is het wat kouder\xf0\x9f\xa5\xb6 #Wednesday #woensdag #koud'
1336582434222202880,b'@AnitaKuipers5 \xe2\x80\x98t Is dat de ballen ontbreken anders kwam het aardig in de buurt van datgene wat gesuggereerd wordt\xe2\x80\xa6 https://t.co/LWy46sd2kc'
1336581352766861312,b'Nog 4 dagen tot de #kerstborrel: Nog nooit gezoomd? #Zoom is een gemakkelijk programma en vooraf is er een instruct\xe2\x80\xa6 https://t.co/B8BF52MQLF'
1336581093563228161,b'#Goedemorgen nog ff #relaxen met mijn kleine grote vriendin \xe2\x9d\xa4\xef\xb8\x8f om daarna weer er tegenaan te gaan met de EMDR.\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x80\xa6 https://t.co/1WJe9yNPV8'
1336581028081786882,"b""#goedemorgen \nVraagje @gammanl #GroningenPeizerweg \nBinnenkort kom'k wat hout halen dat op maat gezaagd moet worden\xe2\x80\xa6 https://t.co/GzwMpkUyQm"""
1336580549717188609,b'RT @timelinevankris: Goedemorgen tweeps!\n\nBekijk het onderstaande filmpje en oordeel zelf. \n\nIk wens iedereen een hele fijne dag! Wat mij b\xe2\x80\xa6'
1336580348675829760,b'Domplein vanonder de Domtoren https://t.co/FISUQoBoyH #utrecht #stadsgezicht #winter #domplein #goedemorgen https://t.co/BOMPDfv8eb'
1336580335824461829,"b""#goedemorgen , de #AEX opent vandaag op 619 en dat is zo'n 3 punten hoger als de slotstand van gisteren..\n\nWat we v\xe2\x80\xa6 https://t.co/Khyt6HQKhZ"""
1336580112989483008,b'Dagje thuiswerken met de baby #goedemorgen https://t.co/sM51pfOrJw'
1336579285621104640,"b'Vandaag ben ik dankbaar:\n1. Dat papperdeflap door een onschuldig buikvirus werd geveld, maar nu na 6 weken eindelij\xe2\x80\xa6 https://t.co/eCJFb5WyNw'"
1336579225806135297,b'RT @timelinevankris: Goedemorgen tweeps!\n\nBekijk het onderstaande filmpje en oordeel zelf. \n\nIk wens iedereen een hele fijne dag! Wat mij b\xe2\x80\xa6'
1336579021329592320,"b""#Goedemorgen, Voor 'Dagboek van een Deurwaarder' schrijf ik dit keer over een woningontruiming in Rotterdam. \n\nEen\xe2\x80\xa6 https://t.co/ZSqdt8Lqc4"""
1336578887652941824,b'Spelen de bewoners van Huize 3Hoog Zoom- of Teamsbingo? #goedemorgen \nhttps://t.co/A0pI28ZSTm https://t.co/0yLhHF9PZ6'
1336578302912442368,b'Goedemorgen! Welke boekenliefhebber zou niet een paar uurtjes in deze prachtige bibliotheek willen doorbrengen? \nFi\xe2\x80\xa6 https://t.co/mrsSwZpGyJ'
1336578216413327360,"b'RT @SytseSchoustra: #Goedemorgen, het is onbewolkt op #Terschelling, 3.3 \xc2\xb0C bij ZZO 3 Bft, zicht 5 km, golfhoogte Noordzee 40 cm, zeewater\xe2\x80\xa6'"
