,screen_name,followers,friends,description,tweets
0,viruswaarheid,3269,109,"@viruswaanzin gaat verder als @viruswaarheid
Liefde en Waarheid
Contact: https://t.co/DrqnNCDQoe",2230
1,viruswaarheid,3269,109,"@viruswaanzin gaat verder als @viruswaarheid
Liefde en Waarheid
Contact: https://t.co/DrqnNCDQoe",2230
2,HumanBe00194645,1,2,"The end cannot justify the means, for the simple and obvious reason that the means employed determine the nature of the ends produced - Aldous Huxley",420
3,volger4444,23,136,,702
4,v4vendettaNL,32,62,,638
5,_AyeAyeCaptain_,390,359,,2110
6,JokevdVoort,139,266,"Woonbegeleider jongvolwassenen en trotse mama van 3 kids. Geloof dat Yeshua de zoon van God is en dat de Eeuwige, de schepper van hemel en aarde is.",1360
7,Hans_Besemans,1029,1551,"Vijand van hypocrisie. De galg voor corrupte politici. Onderwijs gericht op de toekomst. Op naar een directe democratie! Ruw en ongecensureerd! Доверяй, но пров",34960
8,mbgroen,75,288,“It’s easier to fool people than to convince them they have been fooled” - Mark Twain,3016
9,Nol722,151,135,,19239
10,Jabbor5,206,341,ALL LIVES MATTER !!!,38442
11,hommel_b,3661,64,"You could say I'd lost my belief in our politicians
They all seemed like game show hosts to me

Sting - If I ever lose my faith in you.",8311
12,benjamin_lit,15,42,,421
13,viruswaarheid,3269,109,"@viruswaanzin gaat verder als @viruswaarheid
Liefde en Waarheid
Contact: https://t.co/DrqnNCDQoe",2230
14,BvBragt,472,497,"Breed geinteresseerd, ondernemend en rusteloos. Moeder, dochter, zus, vriendin. Socialist, Christen.",10349
15,fortoranjenieuw,144,128,FortOranjeNieuws is een nieuwsservice gericht op kritische waarheidsvinding in de berichtgeving over avonturen op Camping Fort Oranje. Speaking Truth to Power.,4271
16,viruswaarheid,3269,109,"@viruswaanzin gaat verder als @viruswaarheid
Liefde en Waarheid
Contact: https://t.co/DrqnNCDQoe",2230
17,mijntwiets,185,157,Ik ben niet links niet rechts maar eet van alle walletjes mee,9474
18,DianaDi27429860,0,16,...,4
19,visuele,2622,2486,3D denker #BIM de mens staat centraal en heeft als taak de democratische veilige wereld opnieuw uit te vinden,241108
20,visuele,2622,2486,3D denker #BIM de mens staat centraal en heeft als taak de democratische veilige wereld opnieuw uit te vinden,241108
21,visuele,2622,2486,3D denker #BIM de mens staat centraal en heeft als taak de democratische veilige wereld opnieuw uit te vinden,241108
22,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
23,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
24,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
25,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
26,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
27,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
28,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
29,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
30,ro_roro63,10,13,Humor/anders denkend/respectvol/en hou van iedereen #meningRoRo,85
31,Shadowfax2u,292,116,,64865
32,AmberBrouwer2,940,1953,"https://t.co/ggAx2EbJug…
New here but I'm so fed up with this covid-hoax
Woordkunstenares ;)",9978
33,AmberBrouwer2,940,1953,"https://t.co/ggAx2EbJug…
New here but I'm so fed up with this covid-hoax
Woordkunstenares ;)",9978
34,MartinGroenNL,68,95,User experience designer. FVD-lid. Omgedraaide vlag betekent noodsignaal.,444
35,francszzz,33,86,"Opgericht in1492, een persoon met een aparte denkwijze.",1216
36,Dirku51,85,118,,9678
37,Babyfac54592738,507,1433,"#Truthseeker #Nexit No NEW WORLD ORDER NO GLOBALISM Parler @QK66 
I Block Trolls so stay AWAY 🛑",8208
38,macflagstaff,541,630,"Voor vrijheid en democratie, dus tegen NWO, Islam en EU. 
Amerika gaat ons WEER bevrijden! Let maar op!

Parler: @Flagstaffmac / #JensenShow https://t.co/qSA2TV0oeJ",16765
39,Wendykatwijk,31,68,"Wendy 🙃 boys mum, sister, daughter, friend, vv katwijk Psv chocolate",5555
40,Hippezutphen,961,1510,"Go Ahead Eagles, buschauffeur Achterhoek, 2 geweldige zoons Chris en Nick en twittert op persoonlijke titel en af en toe cynisch",38701
41,AmberBrouwer2,940,1953,"https://t.co/ggAx2EbJug…
New here but I'm so fed up with this covid-hoax
Woordkunstenares ;)",9978
42,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
43,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
44,RagnarRgensen,683,1086,"Independent News Group 7 Europe region. #VerenigdRechtsNL  #MEGA
Disclaimer: Tweets onder vrijheid van meningsuiting! NL UK USA AU/NEXIT IS NOW
Woordkunstenaar,",9821
45,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
46,RalphSchipper2,3,12,,31
47,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
48,ShowBadr,0,0,Podcast by Badr Maghrani,2
49,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
50,Gerrypoes,1084,763,#iksteunonzeboeren,63427
51,Rising_Seraphim,477,223,Κύριε Ιησού Χριστέ Ελέησον Ημάς,13316
52,GemkeConny,178,1081,"aarde is bepalend,  gezondheid welzijn voor alles, nieuwsgierig, er zijn meerdere kanten/ waarheden, zelfonderzoek.",12334
53,viruswaarheid,3269,109,"@viruswaanzin gaat verder als @viruswaarheid
Liefde en Waarheid
Contact: https://t.co/DrqnNCDQoe",2230
54,heen_en_weer,140,130,"born in the 60's
Anti EU, en anti links schorriemorrie",3813
55,Marcella1717,482,1321,Our lives begin to end the day we become silent about things that matter - Martin Luther King jr,24222
56,Rindert92,8,27,,787
57,HF33235741,557,1008,"#NEXiT #RutteOUT  #PVV
@PinokioNexit@gab.com",19564
58,ZusterLucretia,1105,719,"Don't follow me, I'm lost too. Technisch onbekwaam en onhandig. Heeft patent op blunders maken. Trust me, I'm a liar.",115795
59,vis_mariska,89,45,"❤️Zwarte Piet❤️ 💚vaccinvrij💚 💙unschooling💙 💜thuisonderwijs💜
 🧡bestaansgeld🧡",9952
